,precision,recall,f1-score,support
mild,0.7592592592592593,0.8913043478260869,0.82,46.0
strong,0.6,0.391304347826087,0.47368421052631576,23.0
weak,0.5,0.5,0.5,2.0
accuracy,0.7183098591549296,0.7183098591549296,0.7183098591549296,0.7183098591549296
macro avg,0.619753086419753,0.5942028985507246,0.5978947368421053,71.0
weighted avg,0.7003651538862806,0.7183098591549296,0.6987991104521868,71.0
