,precision,recall,f1-score,support
mild,0.7090909090909091,1.0,0.8297872340425532,39.0
strong,0.0,0.0,0.0,8.0
weak,1.0,0.6666666666666666,0.8,24.0
accuracy,0.7746478873239436,0.7746478873239436,0.7746478873239436,0.7746478873239436
macro avg,0.5696969696969697,0.5555555555555555,0.5432624113475177,71.0
weighted avg,0.7275288092189501,0.7746478873239436,0.7262211567275997,71.0
