,precision,recall,f1-score,support
mild,0.6833333333333333,0.8913043478260869,0.7735849056603774,46.0
strong,0.3333333333333333,0.13043478260869565,0.1875,23.0
weak,0.5,0.5,0.5,2.0
accuracy,0.6338028169014085,0.6338028169014085,0.6338028169014085,0.6338028169014085
macro avg,0.5055555555555555,0.5072463768115941,0.48702830188679247,71.0
weighted avg,0.5647887323943662,0.6338028169014085,0.5760197980334839,71.0
