,precision,recall,f1-score,support
mild,0.7254901960784313,0.9487179487179487,0.8222222222222222,39.0
strong,0.0,0.0,0.0,8.0
weak,0.9,0.75,0.8181818181818182,24.0
accuracy,0.7746478873239436,0.7746478873239436,0.7746478873239436,0.7746478873239436
macro avg,0.5418300653594771,0.5662393162393162,0.5468013468013467,71.0
weighted avg,0.7027340513670256,0.7746478873239436,0.7282116944088776,71.0
