condition,model,mean_accuracy,std_accuracy,fold_accuracies
NaCl,RandomForest,0.7342857142857142,0.13235696939314823,"[0.6, 0.9285714285714286, 0.6428571428571429, 0.6428571428571429, 0.8571428571428571]"
NaCl,HistGradientBoosting,0.7752380952380953,0.04979777699962427,"[0.7333333333333333, 0.8571428571428571, 0.7857142857142857, 0.7142857142857143, 0.7857142857142857]"
NaCl,LogisticRegression,0.7752380952380952,0.020952380952380965,"[0.7333333333333333, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857]"
