,precision,recall,f1-score,support
mild,0.7441860465116279,0.8205128205128205,0.7804878048780488,39.0
strong,0.0,0.0,0.0,8.0
weak,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
accuracy,0.7323943661971831,0.7323943661971831,0.7323943661971831,0.7323943661971831
macro avg,0.5510923185341791,0.5512820512820512,0.5500176740897844,71.0
weighted avg,0.7160765863681029,0.7323943661971831,0.722656191656834,71.0
