condition,model,mean_accuracy,std_accuracy,fold_accuracies
KCl,RandomForest,0.7171428571428573,0.049815987926179126,"[0.8, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]"
KCl,HistGradientBoosting,0.7171428571428572,0.04981598792617913,"[0.8, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.6428571428571429]"
KCl,LogisticRegression,0.6323809523809524,0.10831213816731908,"[0.7333333333333333, 0.7142857142857143, 0.6428571428571429, 0.42857142857142855, 0.6428571428571429]"
