,precision,recall,f1-score,support
mild,0.7692307692307693,0.8695652173913043,0.8163265306122449,46.0
strong,0.5882352941176471,0.43478260869565216,0.5,23.0
weak,0.5,0.5,0.5,2.0
accuracy,0.7183098591549296,0.7183098591549296,0.7183098591549296,0.7183098591549296
macro avg,0.6191553544494721,0.6014492753623188,0.6054421768707483,71.0
weighted avg,0.7030144668918489,0.7183098591549296,0.7049439494107502,71.0
