row,1,2,3,4,5,6,7,8,9,10,11,12
A,76.36500000000001,112.95,96.065,96.035,92.7,92.795,82.95,72.78,74.91,90.935,64.225,77.33000000000001
B,89.10499999999999,81.5,81.3,115.88000000000001,79.14,86.55,120.39999999999999,117.81,112.37999999999998,111.10499999999999,121.25,110.05
C,122.675,145.79999999999998,175.75,168.5,124.56,124.86,150.15,151.0,177.70000000000002,129.70000000000002,177.1,190.75
D,53.86,62.24,62.74,67.4,55.64,65.48,66.59,62.2,60.76,50.04,60.39,70.92
E,86.16499999999999,78.1,139.75,91.61,133.29999999999998,181.54999999999998,126.2,192.4,146.55,104.13499999999999,109.60000000000001,114.39
F,90.07000000000001,66.72,80.295,72.785,79.89500000000001,78.14,75.49000000000001,77.755,69.97,66.355,65.44500000000001,74.57000000000001
G,136.29999999999998,72.175,74.1,67.02000000000001,62.67000000000001,114.64999999999999,95.28999999999999,83.505,124.95,79.215,41.589999999999996,37.92
H,65.625,58.75999999999999,64.545,,,,,,,,,
