row,NaCl_mean,KCl_mean,n_wells
A,85.83666666666667,147.32916666666668,5184
B,102.20583333333333,119.00375000000001,5184
C,153.2120833333333,117.2875,5184
D,61.52166666666667,67.46541666666667,2592
E,125.3125,122.46624999999999,5184
F,74.79083333333334,121.59541666666667,5184
G,82.44875,111.39125,5184
H,62.97666666666667,96.51333333333334,5184
