row,1,2,3,4,5,6,7,8,9,10,11,12
A,131.9,134.05,174.70000000000002,152.7,146.65,158.04999999999998,133.29999999999998,152.9,147.54999999999998,134.55,147.1,154.5
B,87.67999999999999,135.1,134.95000000000002,88.965,128.6,83.5,121.25,137.4,147.5,116.45,137.15,109.5
C,94.52,116.14999999999999,158.95000000000002,152.25,91.035,82.31,103.83500000000001,118.35000000000001,132.65,105.89999999999999,126.39999999999999,125.10000000000001
D,54.135000000000005,64.96000000000001,73.23,73.505,58.155,64.17,74.675,68.63,66.41,61.92000000000001,78.27000000000001,71.525
E,93.91,88.66999999999999,172.4,96.03999999999999,116.83999999999999,151.75,107.36,205.5,116.84500000000001,100.23,112.77499999999999,107.27499999999999
F,147.35,130.4,143.70000000000002,100.845,120.55,133.9,107.95,121.05,115.75,116.85000000000001,109.85000000000001,110.95
G,171.70000000000002,129.45000000000002,160.65,173.70000000000002,101.035,124.8,88.795,83.87,113.34500000000001,82.36,54.550000000000004,52.440000000000005
H,146.5,70.515,72.52499999999999,,,,,,,,,
