sample_id,ligand,cation,mean_intensity,sd_intensity,n_wells,label_binary
555AF,ThT,NaCl,79.215,,1,weak
555TF,ThT,NaCl,62.67,,1,weak
56.35,ThT,NaCl,65.44500000000001,,1,weak
56.7,ThT,NaCl,62.67,,1,weak
59.34,ThT,NaCl,64.545,,1,weak
59.81,ThT,NaCl,66.355,,1,weak
60.39,ThT,NaCl,60.39,,1,weak
60.76,ThT,NaCl,60.76,,1,weak
61.04,ThT,NaCl,66.72,,1,weak
62.2,ThT,NaCl,62.2,,1,weak
62.24,ThT,NaCl,62.24,,1,weak
62.41,ThT,NaCl,69.97,,1,weak
62.74,ThT,NaCl,62.74,,1,weak
63.09,ThT,NaCl,65.625,,1,weak
63.39,ThT,NaCl,67.02000000000001,,1,weak
64.57,ThT,NaCl,58.76,,1,weak
65.48,ThT,NaCl,65.48,,1,weak
66.59,ThT,NaCl,66.59,,1,weak
67.12,ThT,NaCl,79.89500000000001,,1,weak
67.17,ThT,NaCl,74.57,,1,weak
67.4,ThT,NaCl,67.4,,1,weak
67.81,ThT,NaCl,77.755,,1,weak
67.84,ThT,NaCl,83.505,,1,weak
67.88,ThT,NaCl,74.1,,1,weak
68.16,ThT,NaCl,65.625,,1,weak
68.64,ThT,NaCl,62.67,,1,weak
68.94,ThT,NaCl,72.785,,1,weak
69.34,ThT,NaCl,75.49000000000001,,1,weak
69.75,ThT,NaCl,64.545,,1,weak
70.65,ThT,NaCl,67.02000000000001,,1,weak
70.92,ThT,NaCl,70.92,,1,weak
71.22,ThT,NaCl,80.295,,1,weak
71.32,ThT,NaCl,78.1,,1,weak
71.54,ThT,NaCl,72.17500000000001,,1,weak
72.4,ThT,NaCl,66.72,,1,weak
72.44,ThT,NaCl,72.78,,1,weak
72.81,ThT,NaCl,72.17500000000001,,1,weak
72.9,ThT,NaCl,66.355,,1,weak
73.01,ThT,NaCl,77.33000000000001,,1,weak
73.12,ThT,NaCl,72.78,,1,weak
73.32,ThT,NaCl,74.91,,1,weak
74.54,ThT,NaCl,65.44500000000001,,1,weak
74.56,ThT,NaCl,81.5,,1,weak
75.14,ThT,NaCl,76.36500000000001,,1,weak
75.86,ThT,NaCl,78.14,,1,weak
75.88,ThT,NaCl,79.215,,1,weak
76.5,ThT,NaCl,74.91,,1,weak
76.63,ThT,NaCl,72.785,,1,weak
76.78,ThT,NaCl,95.28999999999999,,1,weak
77.4,ThT,NaCl,120.4,,1,weak
77.53,ThT,NaCl,69.97,,1,weak
77.56,ThT,NaCl,112.38,,1,weak
77.59,ThT,NaCl,76.36500000000001,,1,weak
78.62,ThT,NaCl,82.95,,1,weak
78.79,ThT,NaCl,92.795,,1,weak
79.1,ThT,NaCl,121.25,,1,weak
