well,mean_intensity,n_points,sample_id,ligand,cation
D9,60.76,1,121T,ThT,NaCl
D9,60.76,1,140,ThT,NaCl
D9,60.76,1,60.76,ThT,NaCl
E1,86.16499999999999,2,122A,ThT,NaCl
E1,86.16499999999999,2,87.24,ThT,NaCl
E1,86.16499999999999,2,85.09,ThT,NaCl
E10,104.13499999999999,2,155A,ThT,NaCl
E10,104.13499999999999,2,95.97,ThT,NaCl
E10,104.13499999999999,2,112.3,ThT,NaCl
E11,109.6,2,515A,ThT,NaCl
E11,109.6,2,109.9,ThT,NaCl
E11,109.6,2,109.3,ThT,NaCl
E12,114.39,2,551A,ThT,NaCl
E12,114.39,2,134.1,ThT,NaCl
E12,114.39,2,94.68,ThT,NaCl
E2,78.1,2,222A,ThT,NaCl
E2,78.1,2,71.32,ThT,NaCl
E2,78.1,2,84.88,ThT,NaCl
E3,139.75,2,221A,ThT,NaCl
E3,139.75,2,131.7,ThT,NaCl
E3,139.75,2,147.8,ThT,NaCl
E4,91.61,2,133A,ThT,NaCl
E4,91.61,2,79.52,ThT,NaCl
E4,91.61,2,103.7,ThT,NaCl
E5,133.3,2,313A,ThT,NaCl
E5,133.3,2,135.9,ThT,NaCl
E5,133.3,2,130.7,ThT,NaCl
E6,181.55,2,331A,ThT,NaCl
E6,181.55,2,166.6,ThT,NaCl
E6,181.55,2,196.5,ThT,NaCl
E7,126.2,2,144A,ThT,NaCl
E7,126.2,2,110,ThT,NaCl
E7,126.2,2,142.4,ThT,NaCl
E8,192.4,2,441A,ThT,NaCl
E8,192.4,2,215,ThT,NaCl
E8,192.4,2,169.8,ThT,NaCl
E9,146.55,2,414A,ThT,NaCl
E9,146.55,2,143.3,ThT,NaCl
E9,146.55,2,149.8,ThT,NaCl
F1,90.07,2,122T,ThT,NaCl
F1,90.07,2,93.84,ThT,NaCl
F1,90.07,2,86.3,ThT,NaCl
F10,66.355,2,155T,ThT,NaCl
F10,66.355,2,59.81,ThT,NaCl
F10,66.355,2,72.9,ThT,NaCl
F11,65.44500000000001,2,515T,ThT,NaCl
F11,65.44500000000001,2,56.35,ThT,NaCl
F11,65.44500000000001,2,74.54,ThT,NaCl
F12,74.57,2,551T,ThT,NaCl
F12,74.57,2,81.97,ThT,NaCl
F12,74.57,2,67.17,ThT,NaCl
F2,66.72,2,222T,ThT,NaCl
F2,66.72,2,61.04,ThT,NaCl
F2,66.72,2,72.4,ThT,NaCl
F3,80.295,2,221T,ThT,NaCl
F3,80.295,2,71.22,ThT,NaCl
F3,80.295,2,89.37,ThT,NaCl
F4,72.785,2,133T,ThT,NaCl
F4,72.785,2,68.94,ThT,NaCl
F4,72.785,2,76.63,ThT,NaCl
F5,79.89500000000001,2,313T,ThT,NaCl
F5,79.89500000000001,2,67.12,ThT,NaCl
F5,79.89500000000001,2,92.67,ThT,NaCl
F6,78.14,2,331T,ThT,NaCl
F6,78.14,2,75.86,ThT,NaCl
F6,78.14,2,80.42,ThT,NaCl
F7,75.49000000000001,2,144T,ThT,NaCl
F7,75.49000000000001,2,69.34,ThT,NaCl
F7,75.49000000000001,2,81.64,ThT,NaCl
F8,77.755,2,414T,ThT,NaCl
F8,77.755,2,67.81,ThT,NaCl
F8,77.755,2,87.7,ThT,NaCl
F9,69.97,2,441T,ThT,NaCl
F9,69.97,2,62.41,ThT,NaCl
F9,69.97,2,77.53,ThT,NaCl
G1,136.3,2,111TF,ThT,NaCl
G1,136.3,2,126,ThT,NaCl
G1,136.3,2,146.6,ThT,NaCl
G10,79.215,2,555AF,ThT,NaCl
G10,79.215,2,75.88,ThT,NaCl
G10,79.215,2,82.55,ThT,NaCl
G11,41.59,2,Ctrl0002,ThT,NaCl
G11,41.59,2,37.2,ThT,NaCl
G11,41.59,2,45.98,ThT,NaCl
G12,37.92,2,Ctrl0001,ThT,NaCl
